序号,效力层级,法规名称,发布机关,文号,发布/现行版本日期,时效性,适用范围,来源,来源URL
1,法律,中华人民共和国个人信息保护法,全国人大常委会,主席令第91号,2021/11/1,现行有效,,existing,
2,法律,中华人民共和国反恐怖主义法,全国人大常委会,主席令第36号(2018修正),2016/1/1,现行有效,,existing,
3,法律,中华人民共和国国家安全法,全国人大常委会,主席令第29号,2015/7/1,现行有效,,existing,
4,法律,中华人民共和国数据安全法,全国人大常委会,主席令第84号,2021/9/1,现行有效,,existing,
5,法律,中华人民共和国民法典·第七编侵权责任,全国人大常委会,主席令第45号(民法典),2021/1/1,现行有效,,existing,
6,法律,中华人民共和国民用航空法,全国人大常委会,主席令（2025年最新修正）,2026/7/1,现行有效,,existing,https://www.caac.gov.cn/XXGK/XXGK/FLFG/202512/t20251227_229597.html
7,法律,中华人民共和国治安管理处罚法,全国人大常委会,主席令(2025修订),2026-01-01（2026版）,现行有效,,existing,
8,法律,中华人民共和国测绘法,全国人大常委会,主席令第67号(2017修订),2017/7/1,现行有效,,existing,
9,法律,中华人民共和国突发事件应对法,全国人大常委会,主席令(2024修订),2024-11-01（2024版）,现行有效,,existing,
10,法律,中华人民共和国网络安全法,全国人大常委会,主席令第53号(2016),2017-06-01（2025修正待核）,现行有效,,existing,
11,行政法规,中华人民共和国无线电管理条例,国务院,国务院、中央军委令第672号,2016/12/1,现行有效,,existing,
12,行政法规,中华人民共和国民用航空器国籍登记条例,国务院,国务院令第188号,1997/10/21,现行有效,,existing,
13,行政法规,中华人民共和国测绘成果管理条例,国务院,国务院令第469号,2006/9/1,现行有效,,existing,
14,行政法规,中华人民共和国飞行基本规则,国务院,国务院、中央军委令(2007修订),2001/8/1,现行有效,,existing,
15,行政法规,外国民用航空器飞行管理规则,国务院,国务院、中央军委,1979/2/23,现行有效,,existing,
16,行政法规,无人驾驶航空器飞行管理暂行条例,国务院、中央军委,国务院令、中央军委令第761号,2024/1/1,现行有效,,existing,https://www.mee.gov.cn/zcwj/gwywj/202307/t20230706_1035450.shtml
17,行政法规,民用机场管理条例,国务院,国务院令第553号(2019修订),2009/7/1,现行有效,,existing,
18,行政法规,通用航空飞行管制条例,国务院,国务院、中央军委令第371号,2003/5/1,现行有效,,existing,
