序号,来源,类型,效力层级,标题,发布机关,文号,发布日期,施行日期,时效性/现行版本,适用范围,是否已入库,文件路径,来源URL,备注
1,dikongjie,地方法规,地方性法规,苏州市低空经济促进条例,江苏苏州,,2025-08-06,,有效,,否,raw\dikongjie_html\7845.html,https://dikongjie.com/7845.html,"[已入库(重复)] 库中已有,跳过用旧版｜56条"
2,dikongjie,地方规范性文件,规范性文件,秋季主要粮油作物植保无人飞机“一喷多促”技术指导意见,全国农技中心,,2025-07-25,,有效,,否,raw\dikongjie_html\7695.html,https://dikongjie.com/7695.html,"[建议剔除] 农技指导意见,非法规｜无第X条(按段chunk)"
3,dikongjie,地方规范性文件,地方规范性文件,苏州市低空经济系统标准体系建设指南,江苏苏州,,2024-11-20,,有效,,否,raw\dikongjie_html\4286.html,https://dikongjie.com/4286.html,"[建议剔除] 标准体系建设规划,非规范条文｜无第X条(按段chunk)"
4,dikongjie,地方规范性文件,地方政府规章/规范性文件,热门旅游国家，无人机飞行规定详解,地方,,2024-09-28,,有效,,否,raw\dikongjie_html\766.html,https://dikongjie.com/766.html,"[建议剔除] 科普资讯文,非法规｜无第X条(按段chunk)"
5,dikongjie,地方法规,地方性法规,深圳经济特区低空经济产业促进条例,深圳人大,,2024-01-25,,有效,,否,raw\dikongjie_html\128.html,https://dikongjie.com/128.html,"[已入库(重复)] 库中已有,跳过用旧版｜61条"
6,pkulaw,法规,地方工作文件,2025年度枣庄市发展和改革委员会关于对市十七届人大五次会议第16号代表建议的办理答复(关于加快发展枣庄低空经济的建议),枣庄市发展和改革委员会,,2025-05-28,2025-05-28,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\2025年度枣庄市发展和改革委员会关于对市十七届人大五次会议第16号代表建议的办理答复(关于加快发展枣庄低空经济的建议)(FBMCLI.14.9469124).pdf,https://www.pkulaw.com/lar/9357a2ff1188398693f3c51df7bcf083bdfb.html,引证码FBMCLI.14.9469124｜未知位阶/无条文:地方工作文件
7,pkulaw,法规,地方工作文件,2025年度枣庄市发展和改革委员会关于对市十七届人大五次会议第85号代表建议的办理答复(关于推进枣庄市低空经济高质量发展的建议),枣庄市发展和改革委员会,,2025-05-28,2025-05-28,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\2025年度枣庄市发展和改革委员会关于对市十七届人大五次会议第85号代表建议的办理答复(关于推进枣庄市低空经济高质量发展的建议)(FBMCLI.14.9469113).pdf,https://www.pkulaw.com/lar/4361892da7b45fa832f4f1266e826bd6bdfb.html,引证码FBMCLI.14.9469113｜未知位阶/无条文:地方工作文件
8,pkulaw,法规,地方工作文件,2025年度枣庄市发展和改革委员会关于对市政协十一届四次会议第114038号提案答复的函(关于抢抓“机遇之窗”推动低空经济高质...,枣庄市发展和改革委员会,,2025-09-28,2025-09-28,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\2025年度枣庄市发展和改革委员会关于对市政协十一届四次会议第114038号提案答复的函(关于抢抓“机遇之窗”推动低空经济高质...(FBMCLI.14.9469686).pdf,https://www.pkulaw.com/lar/44d3ac18926dbb4d96727d59138377febdfb.html,引证码FBMCLI.14.9469686｜未知位阶/无条文:地方工作文件
9,pkulaw,法规,地方工作文件,2025年度枣庄市发展和改革委员会关于对市政协十一届四次会议第114089号提案答复的函(关于低空经济未来可期强市引擎助力飞天...,枣庄市发展和改革委员会,,2025-09-28,2025-09-28,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\2025年度枣庄市发展和改革委员会关于对市政协十一届四次会议第114089号提案答复的函(关于低空经济未来可期强市引擎助力飞天...(FBMCLI.14.9469682).pdf,https://www.pkulaw.com/lar/54d3e8135d3db3b3fd988ba176b218e0bdfb.html,引证码FBMCLI.14.9469682｜未知位阶/无条文:地方工作文件
10,pkulaw,法规,地方工作文件,2025年度枣庄市发展和改革委员会关于对市政协十一届四次会议第114266号提案答复的函(关于加快布局我市“低空经济”的建议),枣庄市发展和改革委员会,,2025-09-28,2025-09-28,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\2025年度枣庄市发展和改革委员会关于对市政协十一届四次会议第114266号提案答复的函(关于加快布局我市“低空经济”的建议)(FBMCLI.14.9469676).pdf,https://www.pkulaw.com/lar/1fafd5561cd22c25806ca3a564280926bdfb.html,引证码FBMCLI.14.9469676｜未知位阶/无条文:地方工作文件
11,pkulaw,法规,地方工作文件,2025年度枣庄市工业和信息化局关于对市政协十一届四次会议第114266号提案(关于加快布局我市“低空经济”的建议)的答复,枣庄市工业和信息化局,,2025-09-30,2025-09-30,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\2025年度枣庄市工业和信息化局关于对市政协十一届四次会议第114266号提案(关于加快布局我市“低空经济”的建议)的答复(FBMCLI.14.9336697).pdf,https://www.pkulaw.com/lar/afb2ffe08fc2bcb567b7d06f135118f3bdfb.html,引证码FBMCLI.14.9336697｜未知位阶/无条文:地方工作文件
