序号,来源,类型,效力层级,标题,发布机关,文号,发布日期,施行日期,时效性/现行版本,适用范围,是否已入库,文件路径,来源URL,备注
1,law精选,法规,法律,中华人民共和国民用航空法,全国人大常委会,主席令第44号(2025修订),2025-12-27,2026-07-01,现行有效(2026版),民用航空全领域；2026版首次纳入无人驾驶航空器/低空经济专门条款(第34条适航许可、第61条机场管制空域等),是,law/01_法律/中华人民共和国民用航空法.html,https://www.caac.gov.cn/,★核心上位法；须用2026-07-01新版，非2021修正版
2,law精选,法规,法律,中华人民共和国刑法,全国人大及常委会,主席令(1997修订，含修正案十二),1997-03-14,1997-10-01,现行有效,黑飞危害公共安全、非法测绘、非法获取国家秘密、扰乱单位秩序等的刑事责任,否,law/01_法律/中华人民共和国刑法.pdf,https://www.gov.cn/,按相关罪名条款抽取即可，无需全文入库
3,law精选,法规,法律,中华人民共和国治安管理处罚法,全国人大常委会,主席令(2025修订),2025-06-27,2026-01-01,现行有效(2026版),违规飞行/黑飞扰序、扰乱公共场所秩序、妨害公共安全的行政处罚,是,law/01_法律/中华人民共和国治安管理处罚法.html,https://www.gov.cn/,2026-01-01施行新版；无人机黑飞常用行政处罚依据
4,law精选,法规,法律,中华人民共和国个人信息保护法,全国人大常委会,主席令第91号,2021-08-20,2021-11-01,现行有效,无人机航拍/巡检采集人脸、车牌等个人信息的合规,是,law/01_法律/中华人民共和国个人信息保护法.html,https://www.gov.cn/,
5,law精选,法规,法律,中华人民共和国数据安全法,全国人大常委会,主席令第84号,2021-06-10,2021-09-01,现行有效,无人机采集/传输测绘、遥感等数据的安全管理,是,law/01_法律/中华人民共和国数据安全法.html,https://www.gov.cn/,
6,law精选,法规,法律,中华人民共和国网络安全法,全国人大常委会,主席令第53号(2016),2016-11-07,2017-06-01,"现行有效(注:2025修正,2026-01-01施行,待核)",无人机联网系统(UOM/云系统)网络与数据安全,是,law/01_法律/中华人民共和国网络安全法.html,https://www.gov.cn/,
7,law精选,法规,法律,中华人民共和国反恐怖主义法,全国人大常委会,主席令第36号(2018修正),2015-12-27,2016-01-01,现行有效,重点目标/大型活动上空无人机反恐管制,是,law/01_法律/中华人民共和国反恐怖主义法.html,https://www.gov.cn/,
8,law精选,法规,法律,中华人民共和国国家安全法,全国人大常委会,主席令第29号,2015-07-01,2015-07-01,现行有效,涉国家安全的低空管控总则性依据,是,law/01_法律/中华人民共和国国家安全法.html,https://www.gov.cn/,
9,law精选,法规,法律,中华人民共和国测绘法,全国人大常委会,主席令第67号(2017修订),2017-04-27,2017-07-01,现行有效,无人机航空摄影测量的测绘资质与成果管理,是,law/01_法律/中华人民共和国测绘法.html,https://www.gov.cn/,
10,law精选,法规,法律,中华人民共和国突发事件应对法,全国人大常委会,主席令(2024修订),2024-06-28,2024-11-01,现行有效(2024版),应急救援/灾害监测无人机的应急征用与协同,是,law/01_法律/中华人民共和国突发事件应对法.html,https://www.gov.cn/,
11,law精选,法规,法律,中华人民共和国民法典·第七编 侵权责任,全国人大,主席令第45号,2020-05-28,2021-01-01,现行有效,无人机坠落致人损害、高度危险作业责任、隐私侵权,是,law/01_法律/中华人民共和国民法典-第七编侵权责任.html,https://www.gov.cn/,
12,law精选,法规,行政法规,无人驾驶航空器飞行管理暂行条例,国务院、中央军委,国务院令、中央军委令第761号,2023-05-31,2024-01-01,现行有效,★民用无人机分类(微/轻/小/中/大型)、实名登记、空域、飞行活动、法律责任的核心行政法规,是,law/02_行政法规/无人驾驶航空器飞行管理暂行条例.html,https://www.mee.gov.cn/zcwj/gwywj/202307/t20230706_1035450.shtml,★全案地基
13,law精选,法规,行政法规,通用航空飞行管制条例,国务院、中央军委,国务院令、中央军委令第371号,2003-01-10,2003-05-01,现行有效,通用航空(含无人机)飞行计划申请、空域使用、飞行管制,否,law/02_行政法规/通用航空飞行管制条例.html,https://www.gov.cn/,
14,law精选,法规,行政法规,中华人民共和国飞行基本规则,国务院、中央军委,国务院、中央军委令(2007修订),2000-07-24,2001-08-01,现行有效,国家空域划分与飞行的基本规则(上位空域规则),是,law/02_行政法规/中华人民共和国飞行基本规则.html,https://www.gov.cn/,
