序号,效力层级,标题,发布机关,文号,发布日期,施行日期,时效性/现行版本,适用范围,是否已入库,文件路径,来源URL,备注
1,法律,中华人民共和国民用航空法,全国人大常委会,主席令第44号(2025修订),2025-12-27,2026-07-01,现行有效(2026版),民用航空全领域；2026版首次纳入无人驾驶航空器/低空经济专门条款(第34条适航许可、第61条机场管制空域等),是,law/01_法律/中华人民共和国民用航空法.html,https://www.caac.gov.cn/,★核心上位法；须用2026-07-01新版，非2021修正版
2,法律,中华人民共和国刑法,全国人大及常委会,主席令(1997修订，含修正案十二),1997-03-14,1997-10-01,现行有效,黑飞危害公共安全、非法测绘、非法获取国家秘密、扰乱单位秩序等的刑事责任,否,law/01_法律/中华人民共和国刑法.pdf,https://www.gov.cn/,按相关罪名条款抽取即可，无需全文入库
3,法律,中华人民共和国治安管理处罚法,全国人大常委会,主席令(2025修订),2025-06-27,2026-01-01,现行有效(2026版),违规飞行/黑飞扰序、扰乱公共场所秩序、妨害公共安全的行政处罚,是,law/01_法律/中华人民共和国治安管理处罚法.html,https://www.gov.cn/,2026-01-01施行新版；无人机黑飞常用行政处罚依据
4,法律,中华人民共和国个人信息保护法,全国人大常委会,主席令第91号,2021-08-20,2021-11-01,现行有效,无人机航拍/巡检采集人脸、车牌等个人信息的合规,是,law/01_法律/中华人民共和国个人信息保护法.html,https://www.gov.cn/,
5,法律,中华人民共和国数据安全法,全国人大常委会,主席令第84号,2021-06-10,2021-09-01,现行有效,无人机采集/传输测绘、遥感等数据的安全管理,是,law/01_法律/中华人民共和国数据安全法.html,https://www.gov.cn/,
6,法律,中华人民共和国网络安全法,全国人大常委会,主席令第53号(2016),2016-11-07,2017-06-01,"现行有效(注:2025修正,2026-01-01施行,待核)",无人机联网系统(UOM/云系统)网络与数据安全,是,law/01_法律/中华人民共和国网络安全法.html,https://www.gov.cn/,
7,法律,中华人民共和国反恐怖主义法,全国人大常委会,主席令第36号(2018修正),2015-12-27,2016-01-01,现行有效,重点目标/大型活动上空无人机反恐管制,是,law/01_法律/中华人民共和国反恐怖主义法.html,https://www.gov.cn/,
8,法律,中华人民共和国国家安全法,全国人大常委会,主席令第29号,2015-07-01,2015-07-01,现行有效,涉国家安全的低空管控总则性依据,是,law/01_法律/中华人民共和国国家安全法.html,https://www.gov.cn/,
9,法律,中华人民共和国测绘法,全国人大常委会,主席令第67号(2017修订),2017-04-27,2017-07-01,现行有效,无人机航空摄影测量的测绘资质与成果管理,是,law/01_法律/中华人民共和国测绘法.html,https://www.gov.cn/,
10,法律,中华人民共和国突发事件应对法,全国人大常委会,主席令(2024修订),2024-06-28,2024-11-01,现行有效(2024版),应急救援/灾害监测无人机的应急征用与协同,是,law/01_法律/中华人民共和国突发事件应对法.html,https://www.gov.cn/,
11,法律,中华人民共和国民法典·第七编 侵权责任,全国人大,主席令第45号,2020-05-28,2021-01-01,现行有效,无人机坠落致人损害、高度危险作业责任、隐私侵权,是,law/01_法律/中华人民共和国民法典-第七编侵权责任.html,https://www.gov.cn/,
12,行政法规,无人驾驶航空器飞行管理暂行条例,国务院、中央军委,国务院令、中央军委令第761号,2023-05-31,2024-01-01,现行有效,★民用无人机分类(微/轻/小/中/大型)、实名登记、空域、飞行活动、法律责任的核心行政法规,是,law/02_行政法规/无人驾驶航空器飞行管理暂行条例.html,https://www.mee.gov.cn/zcwj/gwywj/202307/t20230706_1035450.shtml,★全案地基
13,行政法规,通用航空飞行管制条例,国务院、中央军委,国务院令、中央军委令第371号,2003-01-10,2003-05-01,现行有效,通用航空(含无人机)飞行计划申请、空域使用、飞行管制,否,law/02_行政法规/通用航空飞行管制条例.html,https://www.gov.cn/,
14,行政法规,中华人民共和国飞行基本规则,国务院、中央军委,国务院、中央军委令(2007修订),2000-07-24,2001-08-01,现行有效,国家空域划分与飞行的基本规则(上位空域规则),是,law/02_行政法规/中华人民共和国飞行基本规则.html,https://www.gov.cn/,
15,行政法规,中华人民共和国无线电管理条例,国务院、中央军委,国务院、中央军委令第672号,2016-11-11,2016-12-01,现行有效,无人机测控/图传/导航频率与无线电台(站)管理,否,law/02_行政法规/中华人民共和国无线电管理条例.html,https://www.gov.cn/,
16,行政法规,民用机场管理条例,国务院,国务院令第553号(2019修订),2009-04-13,2009-07-01,现行有效,民用机场净空保护区，禁止无人机干扰航空器起降,否,law/02_行政法规/民用机场管理条例.html,https://www.gov.cn/,
17,行政法规,中华人民共和国民用航空器国籍登记条例,国务院,国务院令第188号,1997-10-21,1997-10-21,现行有效,民用航空器国籍登记(适航/登记制度参照),是,law/02_行政法规/中华人民共和国民用航空器国籍登记条例.html,https://www.gov.cn/,
18,行政法规,中华人民共和国测绘成果管理条例,国务院,国务院令第469号,2006-05-27,2006-09-01,现行有效,无人机航测成果的汇交、保管与涉密管理,否,law/02_行政法规/中华人民共和国测绘成果管理条例.html,https://www.gov.cn/,
19,行政法规,外国民用航空器飞行管理规则,国务院、中央军委,国务院、中央军委,1979-02-23,1979-02-23,现行有效,外国民用航空器入境飞行(边缘相关),是,law/02_行政法规/外国民用航空器飞行管理规则.html,https://www.gov.cn/,
20,部门规章,民用无人驾驶航空器运行安全管理规则(CCAR-92),交通运输部/中国民航局,交通运输部令2024年第1号,2024-01-04,2024-01-01,现行有效,★开放类/特定类/审定类无人机运行安全；操控员、运营、适航衔接,是,law/03_部门规章/CCAR-92_民用无人驾驶航空器运行安全管理规则.pdf,https://www.caac.gov.cn/,★核心运行规章
21,部门规章,一般运行和飞行规则(CCAR-91-R4),中国民航局,交通运输部令(CCAR-91 R4),2021-11-08,2022-01-01,现行有效,民用航空器一般运行与飞行规则(通航/无人机部分条款参照),否,law/03_部门规章/CCAR-91-R4_一般运行和飞行规则.pdf,https://www.caac.gov.cn/,
22,规范性文件,民用无人驾驶航空器经营性飞行活动管理办法(暂行),中国民航局运输司,MD-TR-2018-01,2018-05-28,2018-06-01,现行有效,无人机经营许可证的申请、条件与监督管理,是,law/04_规范性文件/MD-TR-2018-01_民用无人驾驶航空器经营性飞行活动管理办法(暂行).pdf,https://www.caac.gov.cn/,
23,规范性文件,轻小无人机运行规定(试行)(AC-91-FS-2015-31),中国民航局飞标司,AC-91-FS-2015-31,2015-12-29,2015-12-29,现行有效(部分被CCAR-92吸收),轻小型无人机分类(I-XI类)运行要求、云系统接入,是,law/04_规范性文件/AC-91-FS-2015-31_轻小无人机运行规定(试行).pdf,https://www.caac.gov.cn/,
24,规范性文件,民用无人驾驶航空器操控员管理规定(AC-61-FS-020R3),中国民航局飞标司,AC-61-FS-020R3,2024,2024,现行有效,无人机操控员执照/等级、训练与考试(替代原驾驶员管理规定),否,law/04_规范性文件/AC-61-FS-020R3_民用无人驾驶航空器操控员管理规定.pdf,https://www.caac.gov.cn/,
25,规范性文件,民用无人驾驶航空器系统空中交通管理办法(MD-TM-2016-004),中国民航局空管办,MD-TM-2016-004,2016-09-21,2016-09-21,现行有效,无人机系统空中交通服务与空域协调,否,law/04_规范性文件/MD-TM-2016-004_民用无人驾驶航空器系统空中交通管理办法.pdf,https://www.caac.gov.cn/,
26,规范性文件,民用无人驾驶航空器系统适航审定管理程序(AP-21-AA-2022-71),中国民航局适航司,AP-21-AA-2022-71,2022,2022,现行有效,无人机系统适航审定(型号合格审定)程序,否,law/04_规范性文件/AP-21-AA-2022-71_民用无人驾驶航空器系统适航审定管理程序.pdf,https://www.caac.gov.cn/,
27,规范性文件,民用无人驾驶航空器实名制登记管理规定(AP-45-AA-2017-03),中国民航局,AP-45-AA-2017-03,2017-05-16,2017-06-01,已废止/被取代,250g以上无人机实名登记(旧制),否,law/04_规范性文件/AP-45-AA-2017-03_民用无人驾驶航空器实名制登记管理规定.pdf,https://www.caac.gov.cn/,⚠已被 GB 46761-2025《实名登记和激活要求》(2026-05-01施行)取代，仅作历史/对比语料
28,规范性文件,D类(限用类)无人驾驶航空器系统失效状态(AC-21-AA-2022-40),中国民航局适航司,AC-21-AA-2022-40,2022,2022,现行有效,D类限用类无人机系统失效状态与安全性分析,否,law/04_规范性文件/AC-21-AA-2022-40_D类限用类无人驾驶航空器系统失效状态.pdf,https://www.caac.gov.cn/,
29,规范性文件,限用类无人驾驶航空器系统适航标准(AC-21-AA-2026-44),中国民航局适航司,AC-21-AA-2026-44,2026-02-12,2026-02-12,现行有效,中型及最大起飞重量<3180kg大型限用类无人机型号合格审定适航要求,否,law/04_规范性文件/AC-21-AA-2026-44_限用类无人驾驶航空器系统适航标准.pdf,http://www.caac.gov.cn/XXGK/XXGK/GFXWJ/202602/P020260226338705668572.pdf,
30,规范性文件,正常类多旋翼无人驾驶航空器系统(不载人)适航标准(AC-21-AA-2026-46),中国民航局适航司,AC-21-AA-2026-46(民航适函〔2026〕26号),2026-04-03,2026-04-03,现行有效,进入融合空域或人口密集区上方飞行、不载人的正常类多旋翼无人机适航要求,否,law/04_规范性文件/AC-21-AA-2026-46_正常类多旋翼无人驾驶航空器系统适航标准.pdf,https://www.caac.gov.cn/,
31,规范性文件,正常类动力提升无人驾驶航空器系统(不载人)适航标准(AC-21-AA-2026-47),中国民航局适航司,AC-21-AA-2026-47,2026,2026,现行有效,正常类动力提升(不载人)无人机适航要求,否,law/04_规范性文件/AC-21-AA-2026-47_正常类动力提升无人驾驶航空器系统适航标准.pdf,https://www.caac.gov.cn/,
32,规范性文件,中型民用无人驾驶航空器系统适航标准及符合性指导材料(试行)(AC-92-AA-2024-02),中国民航局适航司,AC-92-AA-2024-02,2024,2024,"现行有效(注:或被AC-21-AA-2026-44替代,待核)",中型无人机系统适航标准(试行),否,law/04_规范性文件/AC-92-AA-2024-02_中型民用无人驾驶航空器系统适航标准及符合性指导材料(试行).pdf,https://www.caac.gov.cn/,⚠2026限用类适航标准生效后其中型部分可能废止，复核时效
33,规范性文件,民用无人驾驶航空器运行控制系统要求(AC-92-FS-002),中国民航局飞标司,AC-92-FS-002,2024,2024,现行有效,无人机运行控制系统技术与管理要求,否,law/04_规范性文件/AC-92-FS-002_民用无人驾驶航空器运行控制系统要求.pdf,https://www.caac.gov.cn/,
